Ret.Time	Absolute Intensity
2.000	2933144
2.002	2567050
2.003	718827
2.005	55942
2.007	7316
2.008	1562
2.010	521
2.012	2431
2.013	6510
2.015	10215
2.017	12197
2.018	13974
2.020	15774
2.022	15926
2.023	14738
2.025	14064
2.027	14159
2.028	14483
2.030	14725
2.032	14430
2.033	13579
2.035	13112
2.037	13835
2.038	15189
2.040	15962
2.042	15949
2.043	16447
2.045	18052
2.047	19630
2.048	20313
2.050	20341
2.052	20020
2.053	19743
2.055	20141
2.057	21060
2.058	21031
2.060	19550
2.062	17456
2.063	15860
2.065	15104
2.067	15024
2.068	15514
2.070	16230
2.072	16327
2.073	15175
2.075	13710
2.077	13826
2.078	15629
2.080	18495
2.082	21507
2.083	23780
2.085	24506
2.087	24542
2.088	25530
2.090	28379
2.092	33273
2.093	40429
2.095	50039
2.097	60836
2.098	69872
2.100	74557
2.102	74471
2.103	70409
2.105	63486
2.107	56858
2.108	54050
2.110	57165
2.112	65347
2.113	75435
2.115	83765
2.117	87984
2.118	85558
2.120	75996
2.122	62891
2.123	51548
2.125	43984
2.127	40573
2.128	41839
2.130	48620
2.132	60696
2.133	74847
2.135	86228
2.137	92217
2.138	93768
2.140	92758
2.142	89420
2.143	83571
2.145	75673
2.147	66818
2.148	58292
2.150	50769
2.152	44185
2.153	38617
2.155	34422
2.157	32113
2.158	31960
2.160	32962
2.162	33227
2.163	33685
2.165	38435
2.167	49558
2.168	65747
2.170	84345
2.172	102340
2.173	115642
2.175	121771
2.177	119344
2.178	107921
2.180	90106
2.182	72040
2.183	57832
2.185	46646
2.187	37215
2.188	30403
2.190	26222
2.192	23064
2.193	20419
2.195	19443
2.197	19941
2.198	20172
2.200	19494
2.202	18937
2.203	19004
2.205	18672
2.207	17628
2.208	17315
2.210	18572
2.212	20107
2.213	20260
2.215	18938
2.217	17439
2.218	17479
2.220	20880
2.222	26878
2.223	32942
2.225	37933
2.227	42727
2.228	46049
2.230	45183
2.232	40413
2.233	35282
2.235	32285
2.237	31389
2.238	33090
2.240	38908
2.242	49447
2.243	62841
2.245	75527
2.247	84919
2.248	89376
2.250	88374
2.252	82317
2.253	73204
2.255	63795
2.257	56748
2.258	53278
2.260	52409
2.262	53260
2.263	56687
2.265	62237
2.267	66763
2.268	66969
2.270	63305
2.272	57680
2.273	51213
2.275	45510
2.277	43218
2.278	45182
2.280	49710
2.282	55177
2.283	60382
2.285	64024
2.287	65582
2.288	65855
2.290	66454
2.292	69910
2.293	80168
2.295	99761
2.297	125190
2.298	149046
2.300	164276
2.302	167558
2.303	159003
2.305	141443
2.307	119193
2.308	96246
2.310	75351
2.312	58914
2.313	49750
2.315	48852
2.317	56250
2.318	74676
2.320	107408
2.322	152254
2.323	200465
2.325	241467
2.327	265510
2.328	266659
2.330	245485
2.332	208069
2.333	162206
2.335	117019
2.337	81259
2.338	58316
2.340	45229
2.342	37643
2.343	33037
2.345	31165
2.347	31327
2.348	31502
2.350	30841
2.352	29955
2.353	28883
2.355	27841
2.357	27076
2.358	26608
2.360	26067
2.362	25909
2.363	26131
2.365	26873
2.367	27972
2.368	28302
2.370	26930
2.372	25254
2.373	24255
2.375	22536
2.377	19937
2.378	18740
2.380	19718
2.382	20753
2.383	21225
2.385	21948
2.387	22726
2.388	22872
2.390	22790
2.392	23500
2.393	24827
2.395	25621
2.397	25455
2.398	25230
2.400	25233
2.402	24845
2.403	23582
2.405	22539
2.407	22228
2.408	22883
2.410	23290
2.412	22691
2.413	21254
2.415	20159
2.417	19762
2.418	19702
2.420	19822
2.422	19759
2.423	19253
2.425	18795
2.427	18777
2.428	19279
2.430	19741
2.432	19249
2.433	17915
2.435	16952
2.437	16711
2.438	16445
2.440	16290
2.442	16484
2.443	16930
2.445	17378
2.447	17571
2.448	16778
2.450	15643
2.452	14924
2.453	14550
2.455	14219
2.457	14219
2.458	14492
2.460	14857
2.462	15049
2.463	15201
2.465	15720
2.467	16952
2.468	18117
2.470	18406
2.472	17805
2.473	17079
2.475	16926
2.477	18021
2.478	19810
2.480	20804
2.482	20549
2.483	20255
2.485	20643
2.487	21387
2.488	22247
2.490	22405
2.492	21678
2.493	21092
2.495	21409
2.497	21746
2.498	21521
2.500	21700
