[MS Spectrum]	
# of Peaks	314
Raw Spectrum	2.117 (scan : 71)
Background	No Background Spectrum
Base Peak	m/z 43.10 (Inten : 13,585)
Event#	1
m/z	Absolute Intensity
35.00	202
36.00	10
37.00	138
38.00	166
39.05	1610
40.05	3457
41.10	6414
42.10	5289
43.10	13585
44.05	3235
45.10	239
46.10	39
47.10	406
48.10	74
49.10	102
50.10	354
51.10	258
52.10	246
53.10	327
54.10	183
55.15	1125
56.10	5375
57.15	5613
58.20	510
59.20	90
60.20	182
61.20	55
62.20	11
63.20	86
64.20	46
65.20	140
67.20	140
68.20	102
69.20	436
70.20	542
71.20	407
72.20	73
73.20	27
74.20	52
75.20	63
76.20	60
77.20	178
78.20	316
79.20	164
80.20	42
81.20	2
82.20	260
83.10	127
84.15	2291
85.15	5937
86.10	566
87.10	62
89.10	8
91.10	19
93.10	55
94.10	58
95.10	52
97.10	44
98.10	103
99.10	57
100.10	369
101.10	29
102.10	29
103.10	42
105.10	29
106.10	24
108.10	44
109.10	24
110.10	78
111.10	22
113.10	14
114.10	55
115.10	27
117.00	985
118.00	65
119.00	1239
120.00	46
121.00	289
122.00	30
123.00	81
124.00	30
125.00	41
126.00	55
127.00	3
128.00	27
129.00	70
131.00	50
132.00	24
133.00	44
134.00	57
135.00	19
136.00	34
137.00	81
138.00	52
139.00	14
140.00	57
141.00	19
142.00	31
143.00	33
145.00	50
146.00	79
147.00	6
148.00	60
149.00	29
150.00	49
151.00	2
152.00	52
153.00	44
154.00	52
155.00	29
156.00	46
157.00	26
158.00	33
159.00	31
160.00	52
161.00	8
162.00	60
163.00	38
164.00	31
165.00	36
166.00	21
167.00	14
168.00	31
169.00	41
170.00	30
171.00	57
172.00	22
173.00	33
174.00	21
175.00	41
176.00	42
177.00	30
178.00	44
179.00	24
180.00	36
181.00	58
182.00	22
183.00	13
184.00	13
185.00	13
186.00	10
187.00	70
188.00	22
189.00	54
191.00	18
192.00	19
193.00	54
195.00	26
196.00	50
197.00	11
198.00	46
199.00	33
200.00	3
202.00	30
203.00	41
204.00	39
205.00	22
206.00	47
207.00	55
208.00	21
209.00	44
211.00	33
213.00	49
214.00	47
215.00	47
216.00	16
217.00	18
219.00	36
221.00	47
222.00	19
223.00	11
224.00	8
227.00	42
229.00	57
230.00	52
231.00	6
232.00	42
233.00	54
235.00	13
236.00	2
237.00	42
238.00	10
239.00	33
241.00	76
242.00	26
245.00	21
247.00	24
248.00	6
250.00	34
252.00	81
253.00	30
254.00	33
255.00	26
256.00	8
257.00	10
258.00	24
259.00	10
260.00	41
262.00	24
263.00	19
265.00	5
266.00	82
267.00	33
268.00	27
269.00	16
270.00	13
271.00	29
272.00	22
273.00	76
274.00	47
276.00	26
277.00	42
278.00	34
279.00	78
280.00	24
281.00	58
282.00	46
283.00	10
284.00	24
285.00	19
287.00	42
288.00	16
290.00	13
291.00	27
292.00	22
293.00	29
295.00	19
296.00	21
297.00	47
298.00	46
301.00	2
302.00	10
303.00	42
304.00	29
307.00	62
308.00	16
309.00	16
311.00	52
313.00	57
314.00	70
315.00	24
316.00	6
317.00	13
318.00	89
320.00	24
321.00	82
322.00	30
323.00	29
324.00	10
325.00	62
326.00	36
327.00	36
328.00	41
329.00	14
330.00	36
331.00	18
332.00	14
334.00	19
335.00	22
336.00	21
337.00	21
338.00	49
339.00	30
340.00	42
341.00	14
342.00	2
343.00	10
344.00	24
345.00	57
347.00	36
348.00	30
349.00	22
350.00	30
351.00	49
352.00	74
353.00	38
354.00	55
355.00	30
356.00	65
357.00	33
358.00	6
360.00	22
361.00	24
362.00	30
363.00	6
364.00	13
365.00	98
367.00	50
369.00	27
371.00	50
372.00	22
373.00	26
376.00	52
377.00	42
378.00	42
380.00	34
381.00	27
382.00	55
384.00	27
385.00	3
386.00	8
387.00	55
388.00	31
389.00	18
390.00	11
391.00	21
392.00	42
394.00	44
395.00	34
396.00	3
397.00	52
398.00	31
399.00	30
400.00	18
[MS Spectrum]	
# of Peaks	179
Raw Spectrum	2.117 -> 2.120 (scan : 71 -> 73)
Background	2.075 <-> 2.128 (scan : 46 <-> 78)
Base Peak	m/z 43.10 (Inten : 9,984)
Event#	1
m/z	Absolute Intensity
35.00	95
37.00	31
39.10	619
40.05	581
41.10	3198
42.10	3829
43.10	9984
47.10	216
48.10	5
49.10	66
50.10	173
51.10	131
52.10	86
53.10	174
54.10	66
55.15	217
56.10	1811
57.15	4681
58.20	279
59.20	17
60.20	29
63.20	24
65.20	42
67.20	91
68.20	4
69.15	341
70.20	347
71.20	277
74.10	45
75.10	38
76.10	86
77.10	68
78.10	171
79.10	140
82.10	169
84.15	1493
85.15	4935
86.10	363
90.10	22
93.10	28
95.10	33
98.10	43
99.10	59
100.10	398
101.10	12
108.10	11
110.10	45
116.10	22
117.00	658
119.00	895
121.00	186
123.00	42
124.00	30
125.00	29
126.00	15
128.00	5
131.00	11
132.10	9
133.00	39
134.00	50
137.00	8
138.00	33
139.10	8
142.00	8
