Spectrum;Hit;SI;CAS;Name
1;1;86;108 - 08 - 7;Pentane, 2,4-dimethyl- 
2;1;89;591 - 76 - 4;Hexane, 2-methyl- 
3;1;95;71 - 36 - 3;1-Butanol 
4;1;96;589 - 34 - 4;Hexane, 3-methyl- 
5;1;86;105 - 30 - 6;1-Pentanol, 2-methyl- 
6;1;93;110 - 62 - 3;Pentanal 
7;1;96;142 - 82 - 5;Heptane 
8;1;96;108 - 87 - 2;Cyclohexane, methyl- 
9;1;86;1640 - 89 - 7;Cyclopentane, ethyl- 
10;1;96;79 - 31 - 2;Propanoic acid, 2-methyl- 
11;1;93;108 - 88 - 3;Toluene 
12;1;80;868 - 57 - 5;Butanoic acid, 2-methyl-, methyl ester 
13;1;96;66 - 25 - 1;Hexanal 
14;1;90;541 - 05 - 9;Cyclotrisiloxane, hexamethyl- 
15;1;87;116 - 53 - 0;Butanoic acid, 2-methyl- 
16;1;96;100 - 41 - 4;Ethylbenzene 
17;1;97;108 - 38 - 3;Benzene, 1,3-dimethyl- 
18;1;93;110 - 43 - 0;2-Heptanone 
19;1;96;629 - 20 - 9;1,3,5,7-Cyclooctatetraene 
20;1;96;80 - 56 - 8;.alpha.-Pinene 
21;1;96;100 - 52 - 7;Benzaldehyde 
22;1;94;556 - 67 - 2;Cyclotetrasiloxane, octamethyl- 
23;1;88;127 - 91 - 3;.beta.-Pinene 
24;1;91;124 - 13 - 0;Octanal 
25;1;95;13466 - 78 - 9;3-Carene 
26;1;97;0 - 00 - 0;2-Ethyl-1-hexano
27;1;83;1758 - 88 - 9;Benzene, 2-ethyl-1,4-dimethyl- 
28;1;94;5989 - 27 - 5;D-Limonene 
29;1;84;1120 - 21 - 4;Undecane 
30;1;95;98 - 86 - 2;Acetophenone 
31;1;89;617 - 94 - 7;Benzenemethanol, .alpha.,.alpha.-dimethyl- 
32;1;94;124 - 19 - 6;Nonanal 
33;1;93;541 - 02 - 6;Cyclopentasiloxane, decamethyl- 
34;1;93;124 - 07 - 2;Octanoic acid 
35;1;97;101 - 41 - 7;Benzeneacetic acid, methyl ester 
36;1;96;112 - 41 - 4;1-Dodecene 
37;1;96;112 - 40 - 3;Dodecane 
38;1;87;2051 - 33 - 4;1-Hexanol, 5-methyl-2-(1-methylethyl)- 
39;1;92;2473 - 01 - 0;Nonane, 1-chloro- 
40;1;92;629 - 50 - 5;Tridecane 
41;1;90;2425 - 54 - 9;Tetradecane, 1-chloro- 
42;1;94;2437 - 56 - 1;1-Tridecene 
43;1;95;629 - 50 - 5;Tridecane 
44;1;88;475 - 20 - 7;Longifolene 
45;1;89;20307 - 83 - 9;Cyclohexene, 3-(1,5-dimethyl-4-hexenyl)-6-methylene-, [S-(R*,S*)]- 
46;1;89;629 - 62 - 9;Pentadecane 
47;1;96;544 - 76 - 3;Hexadecane 
48;1;80;55282 - 12 - 7;Octadecane, 3-ethyl-5-(2-ethylbutyl)- 
49;1;92;1113 - 21 - 9;1,6,10,14-Hexadecatetraen-3-ol, 3,7,11,15-tetramethyl-, (E,E)- 
